Time (s),Illuminance (lx)
3.21E+02,7.90E+01
3.23E+02,8.00E+01
3.23E+02,7.90E+01
3.24E+02,7.80E+01
3.24E+02,7.70E+01
3.26E+02,7.80E+01
3.26E+02,7.70E+01
3.26E+02,7.80E+01
3.27E+02,7.70E+01
3.27E+02,7.80E+01
3.27E+02,7.70E+01
3.28E+02,7.40E+01
3.28E+02,7.00E+01
3.29E+02,6.60E+01
3.29E+02,6.50E+01
3.29E+02,6.60E+01
3.29E+02,6.90E+01
3.30E+02,7.20E+01
3.30E+02,7.10E+01
3.30E+02,6.90E+01
3.30E+02,6.80E+01
3.31E+02,6.90E+01
3.31E+02,7.00E+01
3.32E+02,7.10E+01
3.32E+02,7.20E+01
3.32E+02,7.30E+01
3.32E+02,7.40E+01
3.32E+02,7.60E+01
3.33E+02,7.70E+01
3.33E+02,7.80E+01
3.35E+02,7.70E+01
3.36E+02,7.60E+01
3.36E+02,7.50E+01
3.37E+02,7.40E+01
3.38E+02,7.30E+01
3.39E+02,7.20E+01
3.39E+02,7.10E+01
3.41E+02,7.20E+01
3.41E+02,7.10E+01
3.42E+02,7.00E+01
3.43E+02,6.90E+01
3.44E+02,6.70E+01
3.44E+02,6.10E+01
3.44E+02,5.60E+01
3.44E+02,5.50E+01
3.45E+02,5.40E+01
3.45E+02,5.30E+01
3.45E+02,5.20E+01
3.45E+02,4.90E+01
3.46E+02,4.60E+01
3.46E+02,4.50E+01
3.46E+02,4.40E+01
3.46E+02,4.10E+01
3.46E+02,3.80E+01
3.47E+02,3.70E+01
3.47E+02,3.80E+01
3.47E+02,4.20E+01
3.47E+02,4.60E+01
3.48E+02,4.80E+01
3.48E+02,4.90E+01
3.48E+02,5.20E+01
3.48E+02,5.30E+01
3.49E+02,5.40E+01
3.49E+02,5.30E+01
3.50E+02,5.40E+01
3.50E+02,5.60E+01
3.50E+02,5.70E+01
3.50E+02,5.80E+01
3.51E+02,5.90E+01
3.51E+02,5.20E+01
3.51E+02,3.10E+01
3.51E+02,1.70E+01
3.52E+02,1.50E+01
3.52E+02,1.40E+01
3.54E+02,1.20E+01
3.54E+02,1.10E+01
3.55E+02,1.20E+01
3.55E+02,1.30E+01
3.56E+02,1.40E+01
3.56E+02,1.50E+01
3.56E+02,1.60E+01
3.57E+02,1.40E+01
3.57E+02,8.00E+00
3.58E+02,5.00E+00
3.58E+02,4.00E+00
3.59E+02,3.00E+00
3.59E+02,4.00E+00
3.61E+02,5.00E+00
3.63E+02,4.00E+00
3.63E+02,3.00E+00
3.63E+02,2.00E+00
3.65E+02,1.00E+00
3.65E+02,2.00E+00
3.68E+02,1.00E+00
3.69E+02,2.00E+00
3.69E+02,1.00E+00
3.70E+02,2.00E+00
3.70E+02,1.00E+00
3.72E+02,2.00E+00
3.74E+02,1.00E+00
3.79E+02,0.00E+00
3.79E+02,1.00E+00
3.85E+02,2.00E+00
